ID_Persona,Region,Edad,Genero,Deporte,Frecuencia_Semanal,Duracion_Promedio_min,Nivel,Gasto_Mensual,Satisfaccion
125,Norte,36,M,Yoga,3,73,Principiante,10377,5
126,CABA,59,M,Natacion,1,56,Principiante,15399,5
127,Centro,12,Otro,Ciclismo,4,137,Intermedio,24366,5
128,Centro,68,Otro,Running,1,73,Principiante,5977,5
129,Norte,29,Otro,Yoga,4,42,Intermedio,19811,5
130,Sur,12,M,Futbol,7,86,Avanzado,19802,5
131,Centro,39,F,Running,3,50,Principiante,7644,5
132,Centro,27,Otro,Futbol,7,107,Avanzado,23240,5
133,Buenos Aires,21,F,Yoga,5,43,Intermedio,21203,5
134,CABA,39,M,Gimnasio,1,73,Principiante,17450,5
135,CABA,56,M,Yoga,3,66,Intermedio,19859,5
136,Centro,24,F,Natacion,3,45,Principiante,15138,5
137,Sur,41,F,Ciclismo,5,100,Avanzado,44593,4
138,Norte,46,Otro,Natacion,4,40,Intermedio,16092,5
139,Centro,67,Otro,Running,5,53,Avanzado,13721,5
140,Norte,21,M,Gimnasio,5,86,Intermedio,20010,5
141,Norte,40,M,Ciclismo,6,72,Avanzado,43180,5
142,Norte,49,Otro,Futbol,2,93,Principiante,12321,5
143,Norte,13,Otro,Ciclismo,6,146,Avanzado,40463,5
144,Buenos Aires,49,Otro,Natacion,3,41,Principiante,15503,5
145,Centro,22,M,Ciclismo,2,146,Intermedio,33607,5
146,Centro,54,Otro,Yoga,2,42,Principiante,11229,5
147,Buenos Aires,28,F,Ciclismo,5,109,Intermedio,33156,5
148,Sur,51,F,Ciclismo,2,140,Intermedio,24667,4
149,Centro,30,F,Gimnasio,3,57,Principiante,19054,5
150,CABA,62,M,Gimnasio,4,47,Avanzado,37816,5
151,Norte,56,F,Running,5,74,Intermedio,8396,5
152,CABA,55,F,Natacion,4,58,Avanzado,30834,5
153,Centro,46,F,Gimnasio,3,58,Principiante,19707,5
154,Centro,69,Otro,Futbol,7,104,Avanzado,22403,5
155,Buenos Aires,14,Otro,Futbol,3,95,Intermedio,15078,5
156,CABA,18,M,Yoga,5,70,Intermedio,21549,5
157,CABA,67,Otro,Running,2,64,Principiante,7305,5
158,CABA,32,M,Futbol,1,106,Principiante,8798,4
159,Buenos Aires,46,F,Yoga,1,52,Principiante,11468,5
160,Norte,56,M,Ciclismo,1,131,Principiante,24405,5
161,Norte,54,Otro,Yoga,3,31,Intermedio,18059,5
162,CABA,44,F,Ciclismo,4,118,Avanzado,43020,5
163,Norte,32,F,Yoga,3,46,Principiante,12940,4
164,CABA,18,Otro,Futbol,6,108,Avanzado,21525,5
165,Sur,59,M,Gimnasio,2,74,Intermedio,22915,5
166,Norte,16,Otro,Running,2,88,Principiante,6740,5
167,Buenos Aires,69,M,Natacion,6,43,Avanzado,24843,5
168,Norte,54,Otro,Yoga,5,41,Avanzado,26308,5
169,Norte,70,Otro,Ciclismo,5,130,Intermedio,25542,5
170,Norte,66,M,Futbol,2,102,Principiante,11319,5
171,Sur,23,Otro,Yoga,4,65,Avanzado,22822,5
172,Sur,45,F,Futbol,4,60,Avanzado,17833,5
173,Centro,37,Otro,Yoga,5,56,Intermedio,14845,5
174,Norte,56,M,Natacion,2,52,Principiante,13476,5
175,Norte,32,F,Yoga,2,44,Intermedio,17051,4
176,CABA,46,Otro,Gimnasio,5,77,Avanzado,28546,5
177,Centro,50,F,Futbol,5,69,Intermedio,17792,5
178,Buenos Aires,66,M,Running,5,73,Intermedio,11109,5
179,Norte,17,Otro,Futbol,6,119,Avanzado,23325,5
180,Centro,55,Otro,Natacion,5,60,Intermedio,18325,5
181,CABA,63,F,Running,5,51,Avanzado,11079,5
182,Buenos Aires,57,Otro,Running,2,55,Intermedio,9055,5
183,Buenos Aires,14,Otro,Natacion,4,45,Intermedio,22064,5
184,Centro,14,Otro,Natacion,1,36,Principiante,15366,5
185,CABA,65,F,Ciclismo,3,126,Principiante,23157,5
186,Buenos Aires,59,F,Natacion,4,59,Avanzado,20811,5
187,Norte,47,Otro,Yoga,6,67,Avanzado,27378,5
188,Buenos Aires,16,Otro,Ciclismo,3,142,Principiante,24155,5
189,Buenos Aires,61,M,Yoga,3,65,Principiante,14282,5
190,Buenos Aires,35,Otro,Natacion,1,35,Principiante,,5
191,Buenos Aires,13,M,Running,4,77,Intermedio,11899,5
192,Buenos Aires,57,Otro,Yoga,4,42,Intermedio,19601,5
193,Buenos Aires,34,Otro,Yoga,7,63,Avanzado,22637,5
194,Centro,60,M,Ciclismo,4,70,Intermedio,31127,4
195,Norte,36,M,Running,4,88,Avanzado,12317,5
196,CABA,57,Otro,Natacion,3,55,Principiante,14057,5
197,CABA,29,F,Ciclismo,7,134,Avanzado,41532,5
198,Buenos Aires,50,M,Running,2,38,Intermedio,8969,5
199,Buenos Aires,15,M,Running,1,65,Principiante,7800,4
200,Sur,31,Otro,Running,2,60,Intermedio,10505,5
201,CABA,16,M,Ciclismo,5,88,Intermedio,32860,4
202,CABA,23,Otro,Natacion,4,32,Intermedio,20374,5
203,CABA,62,Otro,Yoga,3,72,Principiante,11518,5
204,CABA,53,M,Natacion,3,43,Intermedio,17856,5
205,CABA,56,M,Ciclismo,3,142,Intermedio,30266,4
206,CABA,29,M,Ciclismo,1,127,Principiante,20989,5
207,CABA,43,M,Yoga,4,37,Avanzado,19155,5
208,CABA,27,Otro,Ciclismo,3,109,Intermedio,30886,4
209,Sur,16,Otro,Gimnasio,4,48,Avanzado,32800,5
210,Centro,61,M,Yoga,7,46,Avanzado,20622,5
211,Sur,66,Otro,Futbol,7,92,Avanzado,19491,5
212,CABA,62,F,Running,2,53,Intermedio,11358,4
213,Norte,27,Otro,Gimnasio,4,88,Avanzado,31959,5
214,Buenos Aires,35,Otro,Futbol,1,98,Principiante,10325,4
215,Centro,40,F,Futbol,3,60,Intermedio,15232,
216,Buenos Aires,18,Otro,Ciclismo,4,119,Intermedio,33419,5
217,Buenos Aires,16,F,Yoga,6,58,Avanzado,23809,5
218,Norte,45,F,Futbol,6,101,Avanzado,16598,
219,CABA,64,F,Yoga,2,40,Principiante,12312,5
220,Buenos Aires,17,M,Natacion,7,59,Avanzado,27692,5
221,Centro,20,F,Natacion,5,30,Avanzado,30750,4
222,Norte,14,Otro,Futbol,3,103,Principiante,11723,5
223,Buenos Aires,18,F,Natacion,2,34,Principiante,13212,5
224,Norte,15,Otro,Futbol,1,104,Principiante,12058,5
225,Sur,20,F,Running,2,62,Intermedio,10732,5
226,Centro,62,F,Ciclismo,5,75,Intermedio,35173,5
227,CABA,32,Otro,Yoga,1,59,Principiante,12081,4
228,Norte,48,F,Futbol,3,113,Intermedio,16732,5
229,Centro,40,Otro,Gimnasio,3,84,Intermedio,24404,5
230,Buenos Aires,70,Otro,Ciclismo,1,105,Principiante,17911,5
231,Norte,29,F,Gimnasio,1,59,Principiante,18859,5
232,Norte,70,F,Ciclismo,1,124,Principiante,19621,
233,Buenos Aires,25,Otro,Ciclismo,2,106,Principiante,22857,5
234,Sur,58,Otro,Natacion,2,39,Principiante,15761,5
235,Sur,20,F,Yoga,6,73,Avanzado,25777,5
236,Buenos Aires,63,M,Yoga,4,71,Avanzado,26154,5
237,Norte,57,F,Natacion,1,47,Principiante,16743,5
238,Sur,25,M,Natacion,4,37,Avanzado,22076,5
239,CABA,41,Otro,Futbol,1,112,Principiante,8400,4
240,Buenos Aires,25,Otro,Futbol,4,69,Intermedio,16276,5
241,Norte,30,F,Natacion,3,48,Principiante,13290,5
242,Sur,28,F,Natacion,1,37,Principiante,15875,4
243,Norte,12,Otro,Running,3,47,Intermedio,10263,5
244,Norte,50,M,Futbol,5,76,Intermedio,15365,5
245,Sur,55,M,Ciclismo,3,115,Principiante,25059,4
246,Buenos Aires,64,Otro,Yoga,5,43,Avanzado,25042,5
247,Norte,15,Otro,Running,4,35,Avanzado,11142,5
248,Buenos Aires,14,Otro,Natacion,3,38,Principiante,16723,5
249,Buenos Aires,16,Otro,Futbol,2,83,Principiante,8784,4
250,CABA,49,F,Running,3,69,Intermedio,11405,5
251,Buenos Aires,65,F,Running,2,59,Principiante,7268,4
252,Buenos Aires,23,M,Running,6,83,Avanzado,14986,5
253,Sur,16,M,Ciclismo,2,85,Principiante,17154,5
254,CABA,59,M,Ciclismo,3,102,Intermedio,33697,5
255,Sur,59,Otro,Ciclismo,5,67,Avanzado,37430,5
256,Centro,34,M,Yoga,6,56,Avanzado,21507,5
257,Buenos Aires,26,M,Gimnasio,1,72,Principiante,20512,4
258,Buenos Aires,63,Otro,Gimnasio,2,60,Principiante,16705,5
259,Buenos Aires,51,M,Futbol,5,95,Intermedio,13159,5
260,Sur,32,M,Running,4,76,Avanzado,10918,5
261,Sur,42,Otro,Gimnasio,1,86,Principiante,,4
262,CABA,49,Otro,Futbol,2,110,Principiante,10250,5
263,CABA,42,M,Natacion,4,48,Avanzado,,5
264,Buenos Aires,21,Otro,Yoga,3,65,Intermedio,20609,5
265,CABA,70,M,Ciclismo,1,61,Principiante,19743,4
266,Sur,20,M,Ciclismo,3,75,Intermedio,29410,5
267,Centro,62,M,Yoga,7,36,Avanzado,22255,5
268,Buenos Aires,62,M,Yoga,1,66,Principiante,14159,5
269,Centro,49,M,Gimnasio,7,82,Avanzado,30245,5
270,Centro,20,F,Natacion,2,31,Principiante,11290,5
271,Norte,58,Otro,Natacion,5,37,Intermedio,21982,5
272,Sur,47,M,Gimnasio,2,89,Principiante,19331,4
273,CABA,33,F,Yoga,2,70,Intermedio,18699,5
274,Centro,70,F,Yoga,3,47,Intermedio,17121,4
275,Sur,35,F,Gimnasio,5,72,Intermedio,27127,5
276,Buenos Aires,40,F,Ciclismo,2,103,Intermedio,27546,4
277,Centro,15,F,Ciclismo,1,109,Principiante,20135,4
278,Buenos Aires,59,M,Yoga,5,40,Avanzado,22407,5
279,Norte,56,F,Ciclismo,4,83,Intermedio,29084,5
280,Sur,17,Otro,Yoga,4,50,Avanzado,26753,4
281,Centro,54,Otro,Futbol,2,71,Principiante,8885,5
282,Norte,26,F,Futbol,2,99,Intermedio,16896,4
283,CABA,54,M,Yoga,1,49,Principiante,,5
284,Sur,24,Otro,Yoga,2,74,Principiante,15054,5
285,Sur,37,Otro,Gimnasio,6,78,Avanzado,28966,5
286,CABA,50,Otro,Running,7,55,Avanzado,11306,5
287,Sur,26,F,Natacion,1,51,Principiante,12553,5
288,CABA,50,M,Running,3,47,Intermedio,11257,5
289,Buenos Aires,39,F,Ciclismo,7,89,Avanzado,33221,5
290,Norte,60,F,Natacion,1,47,Principiante,13070,4
291,Centro,50,F,Yoga,3,64,Principiante,11104,5
292,Buenos Aires,45,F,Futbol,1,91,Principiante,11920,5
293,CABA,21,F,Ciclismo,5,105,Avanzado,40180,5
294,Norte,12,M,Running,7,67,Avanzado,13048,5
295,Centro,41,Otro,Ciclismo,5,150,Avanzado,34587,5
296,Buenos Aires,55,M,Futbol,4,80,Intermedio,13525,5
297,CABA,60,Otro,Natacion,3,46,Principiante,,5
298,Centro,56,M,Gimnasio,3,83,Principiante,20170,5
299,Centro,26,M,Yoga,2,50,Principiante,,5
300,Norte,29,Otro,Futbol,5,92,Intermedio,12471,5
301,Sur,16,F,Running,5,75,Avanzado,14032,5
302,CABA,46,M,Running,2,49,Intermedio,10029,5
303,CABA,60,F,Ciclismo,1,144,Principiante,24598,4
304,CABA,22,Otro,Natacion,3,40,Principiante,12149,5
305,CABA,31,F,Ciclismo,2,90,Principiante,19275,4
306,CABA,38,M,Running,4,75,Intermedio,11180,5
307,Buenos Aires,41,M,Natacion,5,51,Intermedio,17431,5
308,Norte,63,Otro,Natacion,7,56,Avanzado,22358,5
309,Sur,33,M,Ciclismo,1,96,Principiante,21880,5
310,Norte,31,M,Yoga,1,37,Principiante,10295,5
311,Norte,45,Otro,Gimnasio,5,61,Intermedio,24915,5
312,Norte,58,Otro,Natacion,3,31,Intermedio,18361,5
313,Norte,69,Otro,Gimnasio,7,64,Avanzado,30425,5
314,Buenos Aires,67,M,Natacion,6,40,Avanzado,30975,5
315,CABA,19,F,Futbol,5,73,Avanzado,15977,5
316,Centro,15,F,Gimnasio,5,90,Intermedio,29072,5
317,Buenos Aires,23,M,Futbol,5,111,Avanzado,21490,5
318,Sur,54,Otro,Futbol,3,60,Principiante,10996,5
319,Norte,64,F,Gimnasio,3,67,Intermedio,,5
320,Buenos Aires,27,M,Yoga,2,66,Principiante,12457,4
321,Norte,58,Otro,Gimnasio,6,83,Avanzado,27246,5
322,Norte,40,Otro,Yoga,7,42,Avanzado,26363,5
323,Centro,42,M,Futbol,7,79,Avanzado,22077,5
324,CABA,22,M,Ciclismo,4,60,Avanzado,37486,5
325,CABA,26,M,Gimnasio,2,90,Principiante,20789,4
326,Norte,34,Otro,Running,1,60,Principiante,6569,5
327,Centro,35,F,Yoga,1,40,Principiante,11831,5
328,Centro,33,M,Ciclismo,3,125,Principiante,22148,5
329,Sur,48,M,Running,5,32,Avanzado,14734,5
330,Norte,70,M,Natacion,1,54,Principiante,11367,5
331,CABA,64,M,Natacion,7,47,Avanzado,27631,5
332,Norte,24,M,Yoga,3,31,Principiante,14928,5
333,Sur,15,Otro,Gimnasio,5,62,Avanzado,29133,5
334,Sur,65,F,Ciclismo,1,88,Principiante,24464,5
335,Buenos Aires,63,F,Yoga,5,39,Intermedio,19044,5
336,Sur,51,F,Natacion,6,34,Avanzado,30453,5
337,Norte,59,F,Natacion,3,48,Principiante,11509,5
338,CABA,13,M,Gimnasio,2,54,Intermedio,23931,5
339,Sur,24,F,Yoga,5,52,Avanzado,20838,5
340,Centro,53,M,Ciclismo,7,111,Avanzado,32276,5
341,Buenos Aires,22,M,Yoga,1,60,Principiante,11516,5
342,CABA,34,M,Running,6,50,Avanzado,13859,5
343,CABA,22,M,Futbol,3,74,Principiante,10690,5
344,Sur,17,F,Yoga,6,55,Avanzado,26942,
345,CABA,36,Otro,Ciclismo,7,133,Avanzado,44088,5
346,Sur,67,M,Futbol,3,64,Principiante,12181,5
347,CABA,25,F,Running,5,84,Avanzado,14911,5
348,Centro,41,F,Natacion,3,30,Intermedio,22838,5
349,Sur,41,F,Ciclismo,1,82,Principiante,16871,5
350,Centro,61,Otro,Futbol,2,63,Intermedio,15469,5
351,Norte,32,M,Running,3,80,Principiante,7067,5
352,Centro,51,M,Gimnasio,3,79,Principiante,17331,5
353,Norte,47,Otro,Futbol,3,99,Principiante,10395,5
354,Buenos Aires,43,Otro,Yoga,1,53,Principiante,11358,5
355,Centro,37,M,Ciclismo,5,136,Avanzado,32007,5
356,Centro,55,Otro,Futbol,4,94,Avanzado,15871,5
357,CABA,27,Otro,Ciclismo,4,139,Intermedio,30070,4
358,Sur,35,Otro,Natacion,7,47,Avanzado,23353,5
359,Norte,17,Otro,Natacion,3,31,Intermedio,16809,5
360,Centro,63,Otro,Gimnasio,2,45,Intermedio,24891,4
361,Buenos Aires,38,Otro,Running,4,80,Intermedio,9647,5
362,Sur,28,Otro,Natacion,6,37,Avanzado,25513,5
363,Sur,47,M,Futbol,4,70,Avanzado,21431,5
364,Norte,60,M,Futbol,2,61,Principiante,11535,5
365,Norte,35,M,Ciclismo,7,63,Avanzado,39718,
366,Norte,18,M,Running,5,81,Intermedio,9653,5
367,CABA,48,F,Ciclismo,2,143,Intermedio,29156,4
368,Centro,60,M,Running,2,75,Principiante,6920,5
369,Buenos Aires,39,M,Futbol,5,89,Avanzado,19929,5
370,Sur,62,M,Yoga,3,40,Principiante,,5
371,Sur,20,M,Gimnasio,2,90,Principiante,14556,4
372,Sur,41,F,Yoga,5,67,Intermedio,17489,5
373,Norte,54,M,Gimnasio,3,84,Principiante,17828,5
374,CABA,52,M,Ciclismo,6,98,Avanzado,,4
375,Centro,45,F,Futbol,3,67,Principiante,10555,5
376,Norte,57,M,Gimnasio,4,61,Intermedio,27071,5
377,Norte,13,F,Gimnasio,4,57,Avanzado,27536,5
378,CABA,50,Otro,Ciclismo,3,145,Intermedio,35991,5
379,Sur,32,M,Ciclismo,3,133,Intermedio,30139,5
380,CABA,67,Otro,Natacion,2,55,Intermedio,18110,5
381,CABA,70,F,Gimnasio,7,82,Avanzado,,5
382,Sur,16,F,Running,6,48,Avanzado,10497,5
383,Sur,41,M,Ciclismo,1,92,Principiante,21929,4
384,Sur,14,F,Natacion,5,58,Intermedio,17849,5
385,Centro,59,Otro,Gimnasio,3,79,Principiante,20019,5
386,Sur,66,Otro,Futbol,5,115,Intermedio,15588,5
387,Centro,65,M,Ciclismo,5,94,Intermedio,35606,5
388,CABA,59,Otro,Ciclismo,2,129,Intermedio,29885,5
389,CABA,45,M,Yoga,5,43,Intermedio,19811,5
390,Sur,58,Otro,Ciclismo,2,115,Principiante,17868,5
391,Buenos Aires,51,Otro,Running,2,77,Intermedio,10709,5
392,Norte,62,F,Gimnasio,4,54,Avanzado,34013,4
393,Norte,47,F,Ciclismo,5,130,Intermedio,27012,5
394,Norte,64,F,Ciclismo,2,70,Intermedio,25050,4
395,Norte,33,F,Ciclismo,2,133,Principiante,23797,5
396,CABA,27,Otro,Ciclismo,5,61,Avanzado,32236,5
397,Buenos Aires,20,Otro,Yoga,3,33,Principiante,14553,5
398,Sur,38,Otro,Ciclismo,2,77,Principiante,17793,5
399,CABA,56,F,Running,1,43,Principiante,8368,4
400,Centro,59,Otro,Natacion,2,33,Principiante,13016,5
401,Norte,15,Otro,Futbol,4,117,Intermedio,13187,5
402,CABA,14,F,Natacion,4,47,Avanzado,28609,5
403,Centro,47,F,Futbol,3,110,Intermedio,17965,5
404,CABA,22,F,Running,7,73,Avanzado,15175,5
405,Sur,35,F,Natacion,4,42,Avanzado,22527,5
406,Norte,57,F,Yoga,6,73,Avanzado,18745,5
407,CABA,57,F,Gimnasio,5,83,Intermedio,29000,5
408,Centro,15,M,Gimnasio,5,46,Intermedio,27381,5
409,Sur,45,Otro,Gimnasio,6,73,Avanzado,38519,5
410,CABA,13,M,Gimnasio,2,51,Intermedio,26574,5
411,Centro,34,M,Futbol,6,99,Avanzado,19230,5
412,Centro,34,F,Yoga,7,50,Avanzado,19931,5
413,CABA,44,Otro,Futbol,5,79,Intermedio,16113,5
414,Sur,33,F,Gimnasio,3,48,Intermedio,21614,4
415,Sur,64,F,Running,5,53,Avanzado,15352,5
416,CABA,67,F,Natacion,5,35,Avanzado,29556,5
417,CABA,69,M,Futbol,7,106,Avanzado,18410,5
418,CABA,14,F,Natacion,4,60,Intermedio,22766,5
419,CABA,63,F,Natacion,7,51,Avanzado,28291,5
420,Sur,20,M,Futbol,6,95,Avanzado,19062,5
421,Centro,21,M,Natacion,4,50,Avanzado,24056,5
422,Norte,36,F,Running,5,84,Avanzado,14976,5
423,Sur,22,Otro,Yoga,3,48,Intermedio,21022,4
424,Centro,49,Otro,Yoga,1,57,Principiante,10940,5
425,Buenos Aires,25,F,Ciclismo,4,106,Intermedio,26416,5
426,Sur,65,Otro,Running,5,88,Intermedio,,5
427,Centro,34,M,Natacion,4,50,Avanzado,24601,5
428,Sur,59,M,Gimnasio,3,59,Principiante,20189,5
429,Sur,53,M,Running,7,30,Avanzado,14127,5
430,CABA,54,M,Futbol,7,96,Avanzado,23223,5
431,Centro,48,F,Yoga,1,54,Principiante,11735,4
432,CABA,46,Otro,Running,5,48,Intermedio,8604,5
433,Norte,46,M,Natacion,3,35,Principiante,16096,5
434,Sur,22,F,Natacion,5,59,Intermedio,21073,5
435,Centro,60,Otro,Natacion,4,31,Avanzado,24671,5
436,Sur,42,F,Ciclismo,1,148,Principiante,20057,4
437,Norte,27,F,Futbol,1,76,Principiante,9603,5
438,Norte,58,F,Yoga,1,34,Principiante,13358,5
439,Buenos Aires,29,M,Ciclismo,5,110,Avanzado,42834,5
440,CABA,49,Otro,Yoga,4,61,Avanzado,27677,5
441,CABA,15,M,Gimnasio,6,74,Avanzado,37783,5
